               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.030317,           0.0083841,           0.0030917,             0.73559,             0.51571,             0.58114,             0.23951,            0.062427,           0.0074264,            0.011132,            0.005578,            0.005578,            0.005578
                  69,            0.028853,           0.0076747,           0.0028828,             0.69594,             0.47497,             0.51875,             0.19882,            0.066276,           0.0071898,            0.010902,            0.005512,            0.005512,            0.005512
                  70,            0.029738,           0.0089725,           0.0039379,             0.76352,             0.54047,             0.58231,             0.26064,             0.06304,           0.0070893,             0.01161,            0.005446,            0.005446,            0.005446
                  71,            0.029823,           0.0077624,           0.0023087,             0.78806,             0.54888,             0.61982,             0.27771,            0.060549,            0.006941,            0.010483,             0.00538,             0.00538,             0.00538
                  72,            0.028525,           0.0081399,           0.0021643,             0.68003,              0.5738,             0.59678,             0.28151,            0.062093,           0.0068201,           0.0098949,            0.005314,            0.005314,            0.005314
                  73,            0.028597,            0.007904,           0.0029151,             0.76397,             0.58331,             0.65558,             0.28607,            0.059224,           0.0069284,            0.010209,            0.005248,            0.005248,            0.005248
                  74,            0.028194,            0.007974,           0.0023892,             0.75775,             0.59749,             0.65827,             0.30089,            0.059516,           0.0067523,            0.010117,            0.005182,            0.005182,            0.005182
                  75,            0.028551,           0.0078314,           0.0022753,             0.74831,             0.51514,             0.60734,             0.25763,            0.064429,           0.0069162,            0.010569,            0.005116,            0.005116,            0.005116
                  76,             0.02801,           0.0081108,           0.0026715,             0.79762,             0.61024,             0.66925,             0.27718,            0.058851,           0.0070085,             0.01103,             0.00505,             0.00505,             0.00505
                  77,            0.027449,           0.0075856,           0.0044173,             0.74725,             0.55761,             0.62287,             0.25399,            0.063049,           0.0069439,            0.010822,            0.004984,            0.004984,            0.004984
                  78,            0.027861,            0.007752,           0.0019724,             0.67775,             0.54758,             0.58844,             0.27169,            0.062812,           0.0071114,            0.010581,            0.004918,            0.004918,            0.004918
                  79,            0.027717,           0.0076883,           0.0021716,             0.67407,             0.56062,             0.58645,             0.27634,            0.063536,           0.0071038,            0.010324,            0.004852,            0.004852,            0.004852
                  80,            0.027749,           0.0074415,           0.0015265,             0.63249,             0.47834,             0.50431,             0.23586,            0.063709,           0.0072396,            0.010213,            0.004786,            0.004786,            0.004786
                  81,            0.028138,           0.0082287,           0.0023021,             0.75549,             0.52359,             0.57194,              0.2431,            0.063469,           0.0071795,            0.010158,             0.00472,             0.00472,             0.00472
                  82,            0.026271,           0.0082391,           0.0024322,             0.69576,             0.51261,             0.53524,             0.22119,            0.067049,             0.00726,              0.0103,            0.004654,            0.004654,            0.004654
                  83,             0.02521,           0.0078093,           0.0018112,              0.6494,              0.5254,             0.54505,             0.23674,            0.063104,           0.0072449,            0.010556,            0.004588,            0.004588,            0.004588
                  84,            0.027134,           0.0074997,           0.0019831,             0.67255,              0.4819,             0.51809,             0.22623,             0.06657,           0.0070356,             0.01068,            0.004522,            0.004522,            0.004522
                  85,            0.024946,            0.007039,           0.0022759,             0.71195,             0.51306,             0.56078,             0.25304,            0.064754,           0.0071959,            0.011214,            0.004456,            0.004456,            0.004456
                  86,            0.025127,           0.0069187,           0.0017281,             0.71455,             0.45723,             0.54603,             0.22531,            0.065873,           0.0070219,            0.009966,             0.00439,             0.00439,             0.00439
                  87,             0.02535,           0.0075941,           0.0022594,              0.7433,             0.50257,             0.57061,             0.24627,            0.064889,           0.0070378,           0.0096901,            0.004324,            0.004324,            0.004324
                  88,            0.026927,           0.0067972,           0.0016721,             0.73444,             0.48674,             0.55605,             0.21161,            0.065078,            0.007115,            0.010029,            0.004258,            0.004258,            0.004258
                  89,            0.027074,           0.0074726,           0.0014342,             0.73697,             0.49136,             0.54372,             0.22762,            0.063294,           0.0072195,            0.010236,            0.004192,            0.004192,            0.004192
                  90,            0.024746,           0.0077313,           0.0019017,              0.7245,             0.49675,             0.52917,             0.22918,            0.064851,           0.0071068,             0.01026,            0.004126,            0.004126,            0.004126
                  91,            0.023078,           0.0066917,           0.0014509,             0.76882,             0.50637,             0.56197,             0.23893,            0.062512,           0.0073108,            0.010311,             0.00406,             0.00406,             0.00406
                  92,            0.023503,           0.0071054,           0.0018873,             0.81596,             0.51144,             0.57012,              0.2495,            0.064829,            0.007254,            0.010358,            0.003994,            0.003994,            0.003994
                  93,            0.023202,           0.0068374,           0.0015088,             0.77853,             0.51894,              0.5637,             0.27306,            0.062337,             0.00727,            0.010457,            0.003928,            0.003928,            0.003928
                  94,             0.02375,             0.00771,           0.0019289,             0.79224,             0.56002,             0.58866,             0.27088,             0.06253,           0.0070699,             0.01067,            0.003862,            0.003862,            0.003862
                  95,             0.02309,           0.0073358,           0.0014425,             0.73152,             0.54308,             0.59867,             0.26357,            0.064878,           0.0068595,            0.010927,            0.003796,            0.003796,            0.003796
                  96,            0.023335,           0.0072009,           0.0028677,             0.76243,             0.50632,             0.58281,             0.27319,            0.064641,           0.0067446,            0.010821,             0.00373,             0.00373,             0.00373
                  97,            0.023235,           0.0082341,           0.0017049,             0.78136,             0.50827,             0.59762,             0.28784,            0.061767,           0.0067524,            0.010599,            0.003664,            0.003664,            0.003664
                  98,            0.023242,           0.0065475,            0.001964,             0.74599,             0.54775,             0.62127,             0.28825,            0.060038,           0.0068064,            0.010823,            0.003598,            0.003598,            0.003598
